name,lat,lng
Merkez Depo,37.8750101,32.4932396
Yurt 01,37.841706,32.491993
Yurt 02,37.8642785,32.4805997
Yurt 03,37.8693982,32.4736786
Yurt 04,37.8696502,32.4873786
Yurt 05,37.8732618,32.5060595
Yurt 06,37.8741724,32.5060287
Yurt 07,37.8777362,32.4993114
Yurt 08,37.8776825,32.4512097
Yurt 09,37.8689199,32.4367087
Yurt 10,37.8541129,32.4170611
Yurt 11,37.874679,32.4109457
Yurt 12,37.9143746,32.4906452
Yurt 13,37.9468127,32.5198109
Yurt 14,37.9681992,32.5181258
Yurt 15,37.9784066,32.5063485
Yurt 16,37.9940178,32.5172829
Yurt 17,38.0203476,32.5254278
Yurt 18,38.0174168,32.5097546
Yurt 19,38.0218269,32.5037196
Yurt 20,38.0352233,32.5180047
